PORO MATRIX,PERMX MATRIX (mD),PORO CRACK,PERMX CRACK (mD),OIL RATE 0 (SM3/DAY),OIL RATE 1 (SM3/DAY),OIL RATE 2 (SM3/DAY),OIL RATE 3 (SM3/DAY),OIL RATE 4 (SM3/DAY),OIL RATE 5 (SM3/DAY),OIL RATE 6 (SM3/DAY),OIL RATE 7 (SM3/DAY),OIL RATE 8 (SM3/DAY),OIL RATE 9 (SM3/DAY),OIL RATE 10 (SM3/DAY),OIL RATE 11 (SM3/DAY),OIL RATE 12 (SM3/DAY),OIL RATE 13 (SM3/DAY),OIL RATE 14 (SM3/DAY),OIL RATE 15 (SM3/DAY),OIL RATE 16 (SM3/DAY),OIL RATE 17 (SM3/DAY),OIL RATE 18 (SM3/DAY),OIL RATE 19 (SM3/DAY),OIL RATE 20 (SM3/DAY),OIL RATE 21 (SM3/DAY),OIL RATE 22 (SM3/DAY),OIL RATE 23 (SM3/DAY),OIL RATE 24 (SM3/DAY),OIL RATE 25 (SM3/DAY),OIL RATE 26 (SM3/DAY),OIL RATE 27 (SM3/DAY),OIL RATE 28 (SM3/DAY),OIL RATE 29 (SM3/DAY),OIL RATE 30 (SM3/DAY),OIL RATE 31 (SM3/DAY),OIL RATE 32 (SM3/DAY),OIL RATE 33 (SM3/DAY),OIL RATE 34 (SM3/DAY),OIL RATE 35 (SM3/DAY),OIL RATE 36 (SM3/DAY),OIL RATE 37 (SM3/DAY),OIL RATE 38 (SM3/DAY),OIL RATE 39 (SM3/DAY),OIL RATE 40 (SM3/DAY),OIL RATE 41 (SM3/DAY),OIL RATE 42 (SM3/DAY),OIL RATE 43 (SM3/DAY),OIL RATE 44 (SM3/DAY),OIL RATE 45 (SM3/DAY),OIL RATE 46 (SM3/DAY),OIL RATE 47 (SM3/DAY),OIL RATE 48 (SM3/DAY),OIL RATE 49 (SM3/DAY),OIL RATE 50 (SM3/DAY),OIL RATE 51 (SM3/DAY),OIL RATE 52 (SM3/DAY),OIL RATE 53 (SM3/DAY),OIL RATE 54 (SM3/DAY),OIL RATE 55 (SM3/DAY),OIL RATE 56 (SM3/DAY),OIL RATE 57 (SM3/DAY),OIL RATE 58 (SM3/DAY),OIL RATE 59 (SM3/DAY),OIL RATE 60 (SM3/DAY)
0.1775,8.350625,0.0384125,444.875,0,74.95135,142.4513,194.7936,237.0151,271.2165,298.9459,321.4578,339.563,353.5831,363.5461,369.4895,371.7703,371.0432,368.2022,363.9473,358.9045,353.2765,347.262,340.9297,334.317,327.4246,320.3085,312.9341,305.3507,297.5515,289.5039,281.2495,272.8448,264.2154,255.4248,246.4687,237.3914,228.3526,219.0033,209.7275,200.4614,191.2217,182.173,173.4671,164.9926,156.8344,148.9545,141.4797,134.3778,127.5838,121.1634,115.1135,109.4425,104.0898,98.97462,94.13045,89.59142,85.31583,81.22491,77.40237,73.93965,70.58395,67.25111,63.99178,60.88605
0.178375,2.321875,0.0132125,596,0,23.01975,56.40776,89.68631,120.0415,147.0736,168.1195,181.3355,190.363,198.591,206.5742,213.6872,219.7383,224.643,228.4733,231.197,232.7631,233.333,232.9188,231.5621,229.3224,226.26,222.4767,218.0946,213.1226,207.6466,201.7874,195.6433,189.331,182.8986,176.392,169.8883,163.4385,157.0794,150.915,144.8828,138.974,133.3126,127.9153,122.7027,117.6057,112.7189,108.0777,103.6685,99.62084,95.23826,90.63115,87.3869,84.09054,80.16148,76.25388,72.21385,67.72377,64.99429,62.1257,59.13687,56.45981,53.95433,51.39895,48.969,46.74735
0.170875,4.938125,0.02766875,335.1875,0,35.48324,79.75836,119.1695,153.5473,183.8696,210.7562,234.5098,255.0929,271.8495,284.4134,292.9788,298.2691,301.2495,302.7673,303.2155,302.8629,301.6984,299.7423,297.081,293.6268,289.4207,284.5996,279.0968,273.0132,266.3507,259.1996,251.5719,243.5559,235.1116,226.3701,217.3676,208.1322,198.8639,189.5111,180.3168,171.2404,162.4395,153.9509,145.7614,138.0155,130.5986,123.7191,117.1412,110.9367,105.0646,99.48322,94.28425,89.37886,84.78271,80.46114,76.38937,72.48967,68.74857,65.25943,62.06694,58.87563,55.82406,53.0033,50.43834,48.0682
0.16275,5.9505,0.0417875,286.4375,0,52.27187,108.9782,155.8721,195.153,228.5208,256.9539,281.0973,301.6286,318.9544,333.2375,344.016,351.3019,355.3542,356.5764,355.4654,352.7025,348.7407,343.8922,338.4206,332.37,325.8613,318.9499,311.6446,303.9672,295.9843,287.7249,279.1878,270.4391,261.4365,252.3412,243.0721,233.6633,224.2359,214.7708,205.3271,196.0192,186.7527,177.8147,169.0495,160.6014,152.6846,145.0363,137.7389,130.8105,124.2186,117.9608,112.0527,106.507,101.2953,96.32461,91.59255,87.15457,82.99065,79.08322,75.34554,71.77395,68.5192,65.43627,62.23518,59.2865
0.154,2.7655,0.0212,1115.1875,0,107.6092,191.0499,252.1831,297.5018,326.4799,338.3268,337.0263,329.3004,319.6691,310.1651,301.0776,292.3569,283.6936,275.0886,266.5077,257.9105,249.3145,240.7187,232.1575,223.6536,215.2482,207.012,198.9643,191.0938,183.4361,176.0427,168.9233,162.1035,155.5414,149.2765,143.2998,137.5616,132.0727,126.8205,121.8195,117.0203,112.3673,107.8229,103.8899,99.53272,94.79785,91.29963,87.84621,83.51597,78.8521,73.38008,70.04556,67.33652,64.23277,61.15414,58.09989,55.13623,52.43,49.92253,47.59525,45.41184,43.23558,41.07516,38.97419,36.95325
0.1715,7.122125,0.0377375,1629.5,0,229.9171,327.2078,376.72,403.0612,416.7202,422.1601,421.1308,414.6257,404.2689,391.9336,379.331,367.2276,356.0008,345.6775,336.0475,327.0033,318.3387,309.9627,301.8351,293.819,285.9278,278.1224,270.3779,262.7155,255.1219,247.576,240.1109,232.7369,225.4298,218.2343,211.1772,204.2376,197.4292,190.7644,184.3059,178.0058,171.8781,165.9427,160.1842,154.682,149.1185,143.7593,138.9705,133.4391,127.956,122.7023,117.4378,111.628,104.5784,97.06081,91.54117,86.3642,81.37769,76.58074,71.68359,66.92203,62.59797,58.63658,54.93338,51.57871
0.165125,5.70025,0.036275,1124.9375,0,172.1549,269.1779,328.2362,365.7258,389.7678,403.8283,409.3925,407.3747,399.5812,388.3017,375.8112,363.3915,351.6441,340.7116,330.5079,320.9064,311.7546,302.9189,294.3266,285.9113,277.6515,269.4944,261.4077,253.4312,245.5454,237.7373,230.0331,222.4375,214.9742,207.6019,200.376,193.3313,186.4538,179.7371,173.2181,166.9311,160.8305,154.917,149.215,143.7659,138.4612,133.0708,128.3152,123.6049,118.1796,113.2092,108.6842,103.7095,98.04745,90.93124,84.95213,80.41892,76.13264,71.91322,67.80621,63.78261,59.81731,56.13577,52.7265,49.52207
0.1915,3.69825,0.0156875,1280.9375,0,75.36278,143.5187,196.8479,239.6094,268.729,283.2968,290.0265,294.1324,297.1717,298.9279,299.354,298.4231,296.2307,293.0812,289.1005,284.3956,279.084,273.273,267.041,260.4604,253.5649,246.3655,238.9634,231.4027,223.7294,216.0127,208.3012,200.6606,193.0973,185.7015,178.5033,171.4549,164.6695,158.1356,151.8484,145.7521,139.91,134.2658,128.762,123.8026,118.7293,113.1868,108.6599,104.5631,99.79496,94.66539,89.09666,83.88518,80.43198,76.83512,73.19388,69.56445,65.96329,62.7562,59.7236,56.88478,54.19845,51.63671,49.12567,46.67109
0.199125,4.983625,0.02975,1529.5625,0,164.3568,258.1905,317.5883,356.6028,381.5976,394.1605,395.341,388.1494,376.7919,364.4197,352.6426,342.1062,332.4729,323.6915,315.5179,307.8126,300.4307,293.2773,286.2972,279.4798,272.7761,266.151,259.6143,253.1576,246.7586,240.4264,234.1621,227.9471,221.8099,215.7725,209.8268,203.9659,198.2302,192.5996,187.0768,181.7119,176.4872,171.4046,166.3098,161.1016,156.5897,151.6474,146.3073,141.3642,136.8543,131.543,125.4402,117.8369,111.9971,107.3768,102.6752,98.09984,93.47959,88.73188,84.34174,80.1681,76.2032,72.51919,69.06665,65.63945
0.151375,2.094375,0.04330625,622.8125,0,121.162,212.053,274.2077,318.8597,351.2378,374.5134,390.1571,398.1763,398.2696,391.0644,378.4252,362.7639,346.0613,329.6749,314.2357,300.0317,287.0832,275.2761,264.4889,254.5471,245.3465,236.7725,228.7078,221.1003,213.8876,207.0081,200.4564,194.2073,188.2149,182.4564,176.9581,171.6903,166.6361,161.7908,157.1335,152.6712,148.3788,144.2453,140.2624,136.4403,132.6754,128.8071,125.5415,122.0961,118.1257,114.4525,111.2794,107.5664,102.7827,96.39212,91.98006,88.75871,85.41843,82.44239,79.3861,76.07194,72.99195,70.15768,67.40105,64.72839
0.220875,7.3155,0.01270625,262.0625,0,10.98782,24.83525,41.10474,57.54145,73.06853,87.86452,101.96,115.283,127.8008,139.4042,150.1816,160.1147,169.2598,177.7768,185.7385,193.2374,200.2511,206.7977,212.9435,218.6409,223.7849,228.4319,232.5836,236.202,239.2758,241.7962,243.6814,244.9505,245.5262,245.3962,244.4997,242.5612,239.684,235.8987,231.1155,225.3254,218.5534,210.8843,202.1119,192.6457,182.4285,171.8435,161.1651,150.5665,140.4689,131.4682,123.198,115.1607,107.8666,101.2605,95.38767,90.10536,85.28108,80.75847,76.26675,72.14728,68.33721,64.88647,61.72925,58.84767
0.166,3.0385,0.0093875,1692.875,0,66.12453,130.4918,182.1033,215.9127,232.3418,246.2194,258.5782,267.9413,274.3297,278.0448,279.278,278.5031,275.9456,271.9486,266.7277,260.4478,253.1406,245.1626,236.5821,227.5918,218.2906,208.9079,199.5799,190.368,181.3241,172.6399,164.2229,156.1547,148.4863,141.1712,134.1546,127.524,121.3214,115.3763,109.6686,104.2483,99.1104,94.29791,89.62895,84.65851,80.71786,77.06004,72.76819,68.52835,64.36259,60.57505,57.49481,54.72675,51.78173,49.04285,46.37243,43.75975,41.42087,39.28182,37.26431,35.36119,33.48255,31.61929,29.84243,28.15149
0.183875,5.79125,0.0446,1549.0625,0,237.0325,334.0094,382.4172,407.5064,420.4444,426.2903,427.2346,423.7459,416.2043,405.6117,393.2252,380.4658,368.0254,356.394,345.6369,335.6645,326.4046,317.6788,309.3712,301.404,293.7064,286.2185,278.9323,271.8147,264.8636,258.0657,251.4404,244.964,238.6346,232.4699,226.4577,220.6172,214.9254,209.4041,204.0645,198.8902,193.8623,188.9308,184.1584,179.5596,175.0782,170.3724,166.0331,161.8155,156.8136,151.9489,147.248,142.041,136.1051,128.7149,121.4395,115.7624,110.2812,105.1238,100.0688,94.76379,89.75615,85.04712,80.65942,76.48622
0.22325,6.212125,0.03183125,1727,0,179.1818,272.9738,330.4435,367.1957,390.3055,402.258,404.1184,398.1673,387.8707,376.2553,364.9836,354.7337,345.6427,337.3255,329.6792,322.584,315.8179,309.313,303.0399,296.9479,290.9643,285.0686,279.2763,273.5681,267.9048,262.3073,256.7587,251.2685,245.8221,240.4415,235.1153,229.8379,224.6392,219.5053,214.479,209.5196,204.6169,199.7974,195.0538,190.0954,185.1894,180.8716,175.6124,170.2986,165.2069,160.0526,154.1965,147.2947,139.0927,132.7481,127.2526,121.7413,116.4438,111.0352,105.5931,100.4262,95.56704,91.01328,86.80951,82.8169
0.169375,8.282375,0.01788125,1358.9375,0,111.745,192.2336,250.2436,293.1761,322.5599,338.8659,345.5245,346.9899,345.9722,343.4128,339.7534,335.2055,329.9712,324.0882,317.7493,310.9983,303.8954,296.4366,288.6434,280.516,272.0597,263.2312,253.9937,244.3595,234.3113,223.6966,212.9556,201.886,190.7769,179.7789,169.061,158.7524,148.934,139.7059,131.0144,122.8295,115.1634,108.0209,101.3738,95.17474,89.35635,83.87326,78.63271,73.7662,69.42632,65.10344,60.92388,57.30045,54.03904,50.79622,47.48577,43.93003,40.37904,37.65446,35.32634,33.08504,30.93127,28.80462,26.6921,24.76729
0.193125,7.326875,0.018275,886.0625,0,64.81798,125.5137,174.2293,214.6807,248.1146,274.0126,291.9489,303.3154,310.5249,315.3354,318.4855,320.234,320.7577,320.1488,318.4863,315.877,312.4675,308.4274,303.7346,298.4839,292.7393,286.5724,279.9388,272.8758,265.4492,257.6548,249.4294,240.7522,231.7604,222.3727,212.6264,202.7464,192.7452,182.8259,173.0583,163.6296,154.5851,145.9176,137.8054,130.0933,122.8214,115.9295,109.5153,103.51,97.82754,92.50539,87.47479,82.73547,78.45556,74.26044,70.01244,66.17756,62.72056,59.58502,56.36,53.04672,49.30383,45.80593,43.07066,40.68444
0.195,5.757125,0.02474375,1273.625,0,121.4232,205.7203,264.9886,308.3057,339.2367,357.8017,364.981,363.8556,358.6264,351.9382,344.9742,338.1899,331.3736,324.6879,318.0503,311.4137,304.7827,298.112,291.4284,284.7031,277.9579,271.1473,264.2506,257.3077,250.3102,243.2432,236.1377,228.9977,221.8191,214.6033,207.4282,200.3267,193.2931,186.3572,179.5821,173.0002,166.6156,160.3848,154.4189,148.521,142.6327,137.4834,132.2219,126.2876,121.0201,116.3603,111.1652,105.3488,98.33774,91.98452,87.51046,83.20775,78.99506,74.75463,70.49958,66.38572,62.56232,59.02515,55.68695,52.68992
0.21175,1.992,0.01248125,1234.625,0,46.59291,98.23978,143.1217,180.7549,204.8128,215.1437,221.9896,229.1949,236.2007,241.8859,245.9151,248.4803,249.638,249.5129,248.239,245.8811,242.8057,239.0536,234.6735,229.8927,224.7933,219.42,213.8409,208.1434,202.36,196.6079,190.8866,185.2569,179.6977,174.2878,168.9447,163.7017,158.6877,153.8139,148.9862,144.2894,139.7109,135.3327,131.0915,126.3904,122.3799,118.6979,114.6201,110.2582,105.7209,100.7526,97.2047,93.81695,90.7223,87.69328,84.59961,81.72318,79.14254,76.73279,74.37231,71.99111,69.64142,67.37004,65.12398,62.89816
0.18225,4.3125,0.0420125,1536.875,0,226.909,325.1351,375.8991,403.3458,418.1417,424.77,425.1046,419.5927,409.2814,395.8154,380.9952,366.4467,352.7164,340.1964,328.8162,318.4343,308.8385,299.8952,291.4355,283.36,275.6261,268.1794,260.9771,254.0128,247.2663,240.7226,234.365,228.2072,222.2435,216.4587,210.8528,205.4415,200.2128,195.14,190.2158,185.4491,180.8396,176.3635,172.0524,167.8267,163.3956,159.4023,155.4357,150.7544,146.2616,142.0877,137.3151,131.7452,124.6368,118.4623,113.65,108.8172,104.2673,99.76594,94.96809,90.4291,86.18602,82.10347,78.37815,74.8988
0.15325,3.92575,0.01169375,1680.6875,0,92.36597,169.1392,227.0601,265.1925,282.2192,290.8515,297.2511,301.3991,302.9056,302.1516,299.3821,295.0808,289.5311,282.9034,275.3469,267.0279,258.0247,248.4311,238.3261,227.8804,217.2115,206.4695,195.8802,185.462,175.3775,165.7067,156.4368,147.6679,139.3656,131.5254,124.1128,117.1427,110.6049,104.4493,98.54799,92.91813,87.62312,82.67595,78.20232,73.2271,68.77025,65.38312,61.49939,57.30957,53.3232,49.5345,46.30544,43.72277,41.021,38.41906,35.89519,33.4283,31.23267,29.21152,27.35262,25.68947,24.04926,22.42855,20.89675,19.44462
0.209875,5.7685,0.02721875,1756.25,0,166.1569,259.0351,317.8942,356.5045,380.4816,391.0988,390.2938,382.3806,371.6921,360.8355,350.9381,341.9003,333.5913,325.9258,318.6985,311.7844,305.0907,298.5738,292.1805,285.8593,279.6339,273.449,267.2951,261.1613,255.0355,248.927,242.8257,236.7189,230.6326,224.5773,218.5671,212.6032,206.7014,200.868,195.0948,189.4379,183.9263,178.5202,173.0921,167.7216,162.9475,157.2966,151.7561,146.6208,141.5105,135.7301,129.1009,121.279,115.4962,110.477,105.4599,100.523,95.48589,90.60056,86.06233,81.75603,77.56149,73.64758,69.93069,66.29716
0.192875,3.846125,0.02980625,237.6875,0,20.84024,49.10685,79.25169,106.5918,131.6497,154.6444,175.7411,195.0785,212.5202,227.7528,240.4986,250.4911,257.8576,263.0655,266.7946,269.5161,271.5204,272.9241,273.7276,274.0066,273.6494,272.7127,271.2277,269.1201,266.4615,263.2608,259.5585,255.3303,250.6993,245.5574,240.0573,234.219,228.0906,221.623,214.9522,208.1339,201.106,194.0407,186.9303,179.7714,172.7289,165.8144,158.9326,152.2917,145.847,139.5413,133.5306,127.7401,122.1311,116.7685,111.6758,106.8292,102.201,97.66608,93.13816,89.24529,85.76476,81.77338,77.92844,74.46193
0.1605,5.177,0.0244625,1354.0625,0,147.5262,240.0525,300.7382,341.7738,367.4684,378.5297,377.5835,369.7155,359.2885,348.5932,338.5268,328.9568,319.8294,311.0343,302.4259,293.9444,285.494,277.0629,268.5616,260.0328,251.4597,242.8259,234.1496,225.4448,216.7186,208.0381,199.4582,190.9763,182.689,174.6541,166.8809,159.3342,152.1024,145.1818,138.5938,132.2539,126.2536,120.5292,114.9264,109.5459,104.8662,99.49603,94.36733,90.0303,85.71113,80.77422,75.23496,69.19286,65.26064,61.79553,58.11967,54.57833,51.18771,47.81514,44.75051,41.91597,39.24274,36.83945,34.57419,32.37063
0.22275,7.235875,0.0438125,834.875,0,126.2745,211.5674,270.5318,313.3896,344.6165,367.4589,383.9353,394.9286,400.5742,401.2789,397.8691,391.5553,383.6485,375.1635,366.7014,358.5414,350.7613,343.3479,336.265,329.4757,322.904,316.4721,310.185,304.0193,297.9404,291.9078,285.9482,280.0639,274.2082,268.4191,262.6972,257.0291,251.4379,245.9175,240.4741,235.1353,229.8548,224.6927,219.6608,214.7061,209.8529,205.1116,200.4527,195.8848,191.4633,186.8377,182.3318,178.2847,173.5076,168.448,163.2579,158.214,152.6179,145.8741,137.3446,130.0299,123.8334,117.9532,112.6991,107.4726
0.224625,5.0405,0.036725,452.1875,0,52.05906,107.0789,152.9658,191.4917,224.5661,252.984,277.3902,298.0902,314.8303,327.0597,334.6943,338.1828,338.5492,337.0238,334.4939,331.3174,327.7692,323.873,319.7208,315.3655,310.7307,305.9202,300.9528,295.8077,290.5414,285.1841,279.7328,274.1808,268.5887,262.972,257.3009,251.603,245.8905,240.1782,234.4836,228.8141,223.1622,217.5794,212.0479,206.5422,201.125,195.7935,190.5846,185.4335,180.3312,175.3828,170.5927,165.733,160.7302,156.4536,152.0494,146.9617,142.0611,137.3864,132.8264,127.9685,121.7991,114.0769,108.3799,103.5589
0.19325,6.65575,0.0203,357.125,0,25.97567,59.18816,90.96644,119.5376,145.4266,169.0227,190.4756,209.769,226.3016,239.8001,250.5176,259.0027,265.9497,271.7472,276.6965,280.6916,283.9017,286.2242,287.6672,288.2813,288.06,286.9904,285.1448,282.4371,278.9852,274.6773,269.6107,263.7284,257.083,249.7228,241.6479,232.8948,223.4412,213.6136,203.3522,192.7119,181.9379,171.3444,161.0248,151.2344,141.8289,133.156,125.033,117.3766,110.2421,103.6909,97.81668,92.35497,87.27078,82.51498,78.00507,73.6317,69.62511,65.87531,62.40991,59.20975,56.25486,53.51559,50.96411,48.59615
0.198,1.8555,0.0219875,1602.6875,0,127.3435,214.4439,275.3152,317.8211,341.4559,345.6516,336.4754,321.9988,307.0581,293.792,282.4592,272.7142,263.9088,255.7776,248.1537,240.9101,234.0132,227.3705,220.9746,214.8092,208.8535,203.0733,197.4587,192.0237,186.7586,181.6481,176.6704,171.8656,167.2188,162.6883,158.3015,154.0435,149.9426,145.9385,141.982,138.079,134.4054,130.9707,126.7447,123.2137,120.063,116.297,112.0911,106.9482,102.452,99.4247,96.4853,93.45069,90.44656,87.42477,84.63814,82.05705,79.65856,77.20805,74.7706,72.33774,69.90013,67.56973,65.26841,63.01067
0.1625,3.175,0.039875,627.6875,0,107.5863,192.7887,253.1521,298.1077,331.9467,357.1659,375.0568,385.575,388.3739,384.2549,375.213,363.3833,350.6058,337.8366,325.6718,314.22,303.4988,293.398,283.8741,274.8261,266.1419,257.8283,249.8166,242.0516,234.5471,227.2872,220.2345,213.3934,206.7723,200.3416,194.1192,188.0997,182.2695,176.646,171.2066,165.9622,160.9115,156.0013,151.2591,146.6937,142.3506,137.9881,133.5255,129.7628,125.6765,121.1534,116.9263,113.2513,108.9721,103.7801,96.88398,91.84071,88.108,84.14014,80.71973,77.22704,73.67528,70.1667,66.85841,63.70916
